name,description,imgUrl,price,category
"Master Body Spray - Voyager Intense, Fragrance Lasts All Day Long, For Women",120 ml,https://www.bigbasket.com/media/uploads/p/l/40257442_2-fogg-master-body-spray-voyager-intense-fragrance-lasts-all-day-long-for-women.jpg,1.79,Beauty & Hygiene
Honey Moisturiser,100 ml,https://www.bigbasket.com/media/uploads/p/l/100312897_2-vlcc-honey-moisturiser.jpg,2.21,Beauty & Hygiene
Naturals Under Eye Cream - Reduces Fine Lines,20 ml,https://www.bigbasket.com/media/uploads/p/l/40225200_1-beardo-naturals-under-eye-cream-reduces-fine-lines.jpg,2.1,Beauty & Hygiene
Imari Corset Eau De Toilette,50 ml,https://www.bigbasket.com/media/uploads/p/l/40214516_1-avon-imari-corset-eau-de-toilette.jpg,6.75,Beauty & Hygiene
"Heavy Grip 3 Blade Women's Disposable Razor - With Aloe & Vitamin E, For Hair Removal",2 pcs,https://www.bigbasket.com/media/uploads/p/l/40228619_3-supermax-heavy-grip-3-blade-disposable-razor-hair-removal-for-women.jpg,0.5,Beauty & Hygiene
"Bio Neem Purifying Face Wash - Prevents Pimples, For All Skin Types, 100% Botanical Extracts",100 ml,https://www.bigbasket.com/media/uploads/p/l/40076218_12-biotique-face-wash-bio-neem-purifying-for-oily-acne-prone-skin.jpg,0.87,Beauty & Hygiene
Hydration & Anti-Aging Youth Boost Lotus Cleanser pH: 6.4 - Removes Impurities,120 ml,https://www.bigbasket.com/media/uploads/p/l/40256079_1-koric-hydration-anti-aging-youth-boost-lotus-cleanser-ph-64-removes-impurities.jpg,5.92,Beauty & Hygiene
L-Glutathione Capsules - 50 mg,60 pcs,https://www.bigbasket.com/media/uploads/p/l/40216313_2-healthvit-l-glutathione-capsules-50-mg.jpg,4.9,Beauty & Hygiene
"Nail Buffer Block - With 4 Surfaces, Rustproof, Assorted Colour, DP100112",1 pc,https://www.bigbasket.com/media/uploads/p/l/40247344_1-titania-nail-buffer-with-4-surfaces-15-cm-assorted-colours-set-of-1-pc.jpg,2.29,Beauty & Hygiene
"Anti-Dandruff Shampoo - Nourishes Scalp, Reduces Dandruff, For Men",200 ml,https://www.bigbasket.com/media/uploads/p/l/40264407_1-bold-care-dandruff-problems-can-be-annoying-and-difficult-to-get-rid-of-bold-cares-anti-dandruff-shampoo-is-enriched-with-ketaconazole-and-zpto-proven-ingredients-that-help-fight-dandruff-effectively.jpg,3.0,Beauty & Hygiene
"Loose Baking Powder - Lightweight, Smooth, For Fair Skin",32 g,https://www.bigbasket.com/media/uploads/p/l/40249984_1-makeup-revolution-loose-baking-powder-lightweight-smooth-for-fair-skin.jpg,6.65,Beauty & Hygiene
"Bright & Shine Sheet Mask Combo - Mon Cherry & Mama Cica Mud Dipping, For Skin Care",4 pcs,https://www.bigbasket.com/media/uploads/p/l/40241069_1-quench-botanics-bright-shine-sheet-mask-combo-mon-cherry-mama-cica-mud-dipping-for-skin-care.jpg,3.87,Beauty & Hygiene
Soft-Light Moisturising Cream,3x300 ml,https://www.bigbasket.com/media/uploads/p/l/1212184_2-nivea-soft-light-moisturising-cream.jpg,7.96,Beauty & Hygiene
"Lavender Water/Toner/Mist - 100% Natural & Pure, Improves Complexation",110 ml,https://www.bigbasket.com/media/uploads/p/l/40239033_1-vaadi-lavender-watertonermist-100-natural-pure-improves-complexation.jpg,0.68,Beauty & Hygiene
Anti-Hair Fall Shampoo - with Bhringaraja,700 ml,https://www.bigbasket.com/media/uploads/p/l/40013465_6-himalaya-anti-hair-fall-shampoo.jpg,3.43,Beauty & Hygiene
Sunscreen SPF 35 Lotion - Uva & Uvb Protection,2x100 ml,https://www.bigbasket.com/media/uploads/p/l/1216913_1-wow-skin-science-sunscreen-spf-35-lotion-uva-uvb-protection.jpg,4.28,Beauty & Hygiene
Precision Brush Oval Flat Eye,5 g,https://www.bigbasket.com/media/uploads/p/l/40143778_1-makeup-revolution-precision-brush-oval-flat-eye.jpg,7.0,Beauty & Hygiene
Retinol Advanced Anti Aging Face Mist+Retinol Anti Aging Foaming Face Wash-120ml,Combo,https://www.bigbasket.com/media/uploads/p/l/1221061_1-stbotanica-retinol-advanced-anti-aging-face-mistretinol-anti-aging-foaming-face-wash-120ml.jpg,7.24,Beauty & Hygiene
Little Black Dress Lace Body Spray,120 ml,https://www.bigbasket.com/media/uploads/p/l/40214514_1-avon-little-black-dress-lace-body-spray.jpg,1.75,Beauty & Hygiene
"Malt - Parfum For Men, Strong, Smooth & Long Lasting Frangrance, Limited Edition",100 ml,https://www.bigbasket.com/media/uploads/p/l/40237521_1-ustraa-malt-parfum-for-men-strong-smooth-long-lasting-frangrance-limited-edition.jpg,10.49,Beauty & Hygiene
"Nail Filer - Lux, For Men & Women",1 pc,https://www.bigbasket.com/media/uploads/p/l/40229198_1-gubb-nail-filer-lux-for-men-women.jpg,1.39,Beauty & Hygiene
Youth Infinity Skin Sculpting - Day Creme,50 g,https://www.bigbasket.com/media/uploads/p/l/40001660_6-lakme-youth-infinity-skin-sculpting-day-creme.jpg,6.29,Beauty & Hygiene
Body Wash Fig Oil & White Orchid Extracts + Invigorating Handwash Refill (750ml),Combo,https://www.bigbasket.com/media/uploads/p/l/1212915_1-palmolive-body-wash-fig-oil-white-orchid-extracts-invigorating-handwash-refill-750ml.jpg,6.13,Beauty & Hygiene
"Vitamin D3 400 IU Spray - Adjustable Dose, For Immunity",50 ml,https://www.bigbasket.com/media/uploads/p/l/40221238_3-carbamide-forte-vitamin-d3-400-iu-spray-adjustable-dose-for-ilunity.jpg,3.5,Beauty & Hygiene
"Loratadine Oral Solution USP - Provides Relief From Sneezing & Itchiness, Helps Nasal Discharge",100 ml,https://www.bigbasket.com/media/uploads/p/l/40233675_1-alaspan-loratadine-oral-solution-usp-provides-relief-from-sneezing-itchiness-helps-nasal-discharge.jpg,0.89,Beauty & Hygiene
Festive Rose Try Me Bath Gift Set For Skin & Hair Care,5 pcs,https://www.bigbasket.com/media/uploads/p/l/40147535_1-soulflower-festive-rose-try-me-bath-gift-set-for-skin-hair-care.jpg,6.5,Beauty & Hygiene
Divyaa Kumkum -11 In 1 Bindi,17 g,https://www.bigbasket.com/media/uploads/p/l/40223639_1-eyetex-divyaa-kumkum-11-in-1.jpg,0.53,Beauty & Hygiene
"Loofah/Sponge Scrubber/Body Bath - Pink, Bh-038 Pnk",1 pc,https://www.bigbasket.com/media/uploads/p/l/40142846_2-bb-home-loofahsponge-scrubberbody-bath-pink-bh-038-pnk.jpg,1.59,Beauty & Hygiene
"Radiance Pro SPF 30 Sun Screen Gel - Saxifraga & Grape Fruit Extracts, Oil Control, Paraben Free",100 g,https://www.bigbasket.com/media/uploads/p/l/40137984_2-vlcc-radiance-pro-spf-30-sun-screen-gel.jpg,3.19,Beauty & Hygiene
Raindrops Parfum Deodorant - For Women,200 ml,https://www.bigbasket.com/media/uploads/p/l/40159279_2-ajmal-raindrops-perfume-deodorant-for-women.jpg,1.99,Beauty & Hygiene
Dark Temptation Deodorant,3x150 ml,https://www.bigbasket.com/media/uploads/p/l/1208793_2-axe-dark-temptation-deodorant.jpg,3.15,Beauty & Hygiene
"Anti Dandruff Shampoo - Small Onion Fenugreek, For Strong, Smooth & Healthy Hair",180 ml,https://www.bigbasket.com/media/uploads/p/l/40160475_3-meera-anti-dandruff-shampoo.jpg,1.64,Beauty & Hygiene
Plant Based Iron & Folate Dietary Supplement Capsules - For Energy,120 pcs,https://www.bigbasket.com/media/uploads/p/l/40227463_2-nature-life-nutrition-plant-based-iron-folate-dietary-supplement-capsules-for-energy.jpg,4.97,Beauty & Hygiene
"DeTan Face Scrub - Rejuvenates Skin, Removes Tan & Dead Cells, Blackheads, For Men",100 g,https://www.bigbasket.com/media/uploads/p/l/40236176_1-beardo-detan-face-scrub-rejuvenates-skin-removes-tan-dead-cells-blackheads-for-men.jpg,2.45,Beauty & Hygiene
"Germ Protection Liquid Handwash - Herbal Sensitive, ph Balanced",1.5 L,https://www.bigbasket.com/media/uploads/p/l/40220802_1-savlon-germ-protection-liquid-handwash-herbal-sensitive-ph-balanced.jpg,1.88,Beauty & Hygiene
"Power Whitening Facial Kit - Greek Yogurt & Honey, For All Skin Types, No Parabens, No Artificial Colorants",110 g,https://www.bigbasket.com/media/uploads/p/l/40151338_2-glamveda-greek-yogurt-honey-facial-kit.jpg,2.07,Beauty & Hygiene
